Curve latticelength-1
27.0 24.83790588378906
28.0 24.83737564086914
29.0 24.85673332214355
30.0 24.86438179016113
31.0 24.89053916931152
32.0 24.8915958404541
33.0 24.89826202392578
34.0 24.91651916503906
35.0 24.93466186523438
36.0 24.913818359375
37.0 24.87772369384766
38.0 24.87904739379883
39.0 24.88467788696289
40.0 24.89987564086914
41.0 24.89454460144043
42.0 24.89883232116699
43.0 24.90754699707031
44.0 24.88042449951172
45.0 24.87794303894043
46.0 24.89223289489746
47.0 24.88329315185547
48.0 24.85776519775391
49.0 24.86028671264648
50.0 24.89076042175293
51.0 24.90222549438477
52.0 24.87781524658203
53.0 24.84762954711914
54.0 24.84833717346191
55.0 24.89105987548828
56.0 24.87261581420898
57.0 24.84131050109863
58.0 24.86567306518555
59.0 24.90775680541992
60.0 24.91495704650879
61.0 24.91259765625
62.0 24.93275451660156
63.0 24.95330238342285
64.0 24.9526481628418
65.0 24.93943214416504
66.0 24.90356826782227
67.0 24.91042518615723
68.0 24.91603088378906
69.0 24.91884994506836
70.0 24.89557456970215
71.0 24.88631439208984
72.0 24.89241409301758
73.0 24.86638450622559
74.0 24.84673881530762
75.0 24.83601379394531
76.0 24.84174919128418
77.0 24.88102340698242
78.0 24.90074920654297
79.0 24.90505790710449
80.0 24.88780784606934
81.0 24.89148712158203
82.0 24.89240264892578
83.0 24.87111663818359
84.0 24.84372520446777
85.0 24.84539985656738
86.0 24.83175086975098
87.0 24.82962989807129
88.0 24.8203067779541
89.0 24.80250358581543
90.0 24.82043075561523
91.0 24.83201217651367
92.0 24.80127143859863
93.0 24.76435661315918
94.0 24.75606536865234
95.0 24.7382984161377
96.0 24.75820732116699
97.0 24.77788543701172
98.0 24.7634105682373
99.0 24.73231315612793
100.0 24.72902870178223
Curve latticelength-3
0.0 25.1560001373291
1.0 25.21187019348145
2.0 25.24838638305664
3.0 25.27118682861328
4.0 25.23548316955566
5.0 25.1919002532959
6.0 25.13428115844727
7.0 25.08510589599609
8.0 25.07626914978027
9.0 25.09260177612305
10.0 25.10261154174805
11.0 25.10511016845703
12.0 25.09932136535645
13.0 25.10977745056152
14.0 25.08651733398438
15.0 25.06830215454102
16.0 25.05956840515137
17.0 25.07061004638672
18.0 25.04050254821777
19.0 25.02045822143555
20.0 25.01745223999023
21.0 25.03228378295898
22.0 25.02568626403809
23.0 25.00835418701172
24.0 25.01681518554688
25.0 25.05733299255371
26.0 25.06589889526367
27.0 25.05657577514648
28.0 25.04328918457031
29.0 25.03408622741699
30.0 25.05685234069824
31.0 25.08026313781738
32.0 25.05949592590332
33.0 25.00993156433105
34.0 25.00932884216309
35.0 25.03963470458984
36.0 25.04520225524902
37.0 25.03778839111328
38.0 25.01045417785645
39.0 25.00978088378906
40.0 25.00839614868164
41.0 25.01003456115723
42.0 25.02136039733887
43.0 25.00834655761719
44.0 24.99943923950195
45.0 25.008544921875
46.0 25.01561164855957
47.0 25.01172828674316
48.0 24.9970531463623
49.0 24.97750282287598
50.0 24.97962379455566
51.0 25.03058242797852
52.0 25.0523624420166
53.0 25.02932167053223
54.0 25.02277565002441
55.0 25.03713226318359
56.0 25.04679870605469
57.0 25.01859474182129
58.0 24.96289253234863
59.0 24.96145629882812
60.0 24.95971870422363
61.0 24.91996574401855
62.0 24.89389610290527
63.0 24.92982864379883
64.0 24.96224594116211
65.0 24.93492317199707
66.0 24.92793846130371
67.0 24.94732093811035
68.0 24.98577117919922
69.0 24.981201171875
70.0 24.95350456237793
71.0 24.98712730407715
72.0 25.01802444458008
73.0 25.00851058959961
74.0 24.9797306060791
75.0 24.99924850463867
76.0 24.99441719055176
77.0 24.99214553833008
78.0 24.9791088104248
79.0 24.97165298461914
80.0 25.00021743774414
81.0 25.0121021270752
82.0 24.99918556213379
83.0 25.00312232971191
84.0 25.02058982849121
85.0 25.02655029296875
86.0 25.03421401977539
87.0 25.0348949432373
