# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
193 4.644000 1.356666 0.400360
194 4.668000 1.365893 0.407260
195 4.692000 1.333764 0.401780
196 4.716000 1.346839 0.409880
197 4.740000 1.301943 0.400260
198 4.764000 1.306311 0.405680
199 4.788000 1.322066 0.414720
200 4.812000 1.298244 0.411340
201 4.836000 1.276015 0.408340
202 4.860000 1.288320 0.416380
203 4.884000 1.284268 0.419180
204 4.908000 1.246740 0.410940
205 4.932000 1.251881 0.416680
206 4.956000 1.246153 0.418820
207 4.980000 1.240064 0.420820
208 5.004000 1.233626 0.422680
209 5.028000 1.230319 0.425600
210 5.052000 1.218199 0.425440
211 5.076000 1.204381 0.424620
212 5.100000 1.212740 0.431620
213 5.124000 1.199068 0.430780
214 5.148000 1.197290 0.434180
215 5.172000 1.183253 0.433100
216 5.196000 1.174459 0.433880
217 5.220000 1.156443 0.431180
218 5.244000 1.160339 0.436620
219 5.268000 1.160798 0.440800
220 5.292000 1.154155 0.442280
221 5.316000 1.155550 0.446840
222 5.340000 1.158821 0.452160
223 5.364000 1.146086 0.451220
224 5.388000 1.134942 0.450840
225 5.412000 1.133731 0.454380
226 5.436000 1.099605 0.444620
227 5.460000 1.136095 0.463440
228 5.484000 1.131276 0.465540
229 5.508000 1.123752 0.466500
230 5.532000 1.120995 0.469420
231 5.556000 1.117014 0.471820
232 5.580000 1.105078 0.470820
233 5.604000 1.104895 0.474800
234 5.628000 1.093231 0.473820
235 5.652000 1.079848 0.472020
236 5.676000 1.103537 0.486480
237 5.700000 1.079598 0.479960
238 5.724000 1.090683 0.488980
239 5.748000 1.084956 0.490500
240 5.772000 1.101222 0.502020
241 5.796000 1.080591 0.496720
242 5.820000 1.082831 0.501880
243 5.844000 1.053755 0.492440
244 5.868000 1.070239 0.504260
245 5.892000 1.075558 0.510920
246 5.916000 1.057202 0.506300
247 5.940000 1.063673 0.513540
248 5.964000 1.055129 0.513540
249 5.988000 1.042775 0.511620
250 6.012000 1.061560 0.525020
251 6.036000 1.047599 0.522260
252 6.060000 1.045765 0.525500
253 6.084000 1.049930 0.531780
254 6.108000 1.040872 0.531360
255 6.132000 1.036900 0.533500
256 6.156000 1.044374 0.541560
257 6.180000 1.040028 0.543520
258 6.204000 1.030934 0.542960
259 6.228000 1.039546 0.551740
260 6.252000 1.040256 0.556380
261 6.276000 1.041406 0.561280
262 6.300000 1.028847 0.558760
263 6.324000 1.038486 0.568300
264 6.348000 1.035944 0.571220
265 6.372000 1.029631 0.572040
266 6.396000 1.015987 0.568720
267 6.420000 1.030782 0.581340
268 6.444000 1.030686 0.585640
269 6.468000 1.038179 0.594300
270 6.492000 1.033985 0.596300
271 6.516000 1.011890 0.587880
272 6.540000 1.018556 0.596120
273 6.564000 1.027811 0.605960
274 6.588000 1.020505 0.606060
275 6.612000 1.018760 0.609440
276 6.636000 1.022324 0.616020
277 6.660000 1.011410 0.613860
278 6.684000 1.021827 0.624660
279 6.708000 1.014138 0.624420
280 6.732000 1.023401 0.634640
281 6.756000 1.013197 0.632800
282 6.780000 1.028135 0.646700
283 6.804000 1.030840 0.653000
284 6.828000 1.027462 0.655460
285 6.852000 1.004836 0.645540
286 6.876000 1.025286 0.663300
287 6.900000 1.008925 0.657280
288 6.924000 1.023558 0.671460
289 6.948000 1.027127 0.678480
290 6.972000 1.021120 0.679180
291 6.996000 1.015828 0.680320
292 7.020000 1.015182 0.684560
293 7.044000 1.010662 0.686180
